idencuesta,ola,social_trust,trust_nb,clase,m0_sexo,m0_edad,age10,swb,employed,couple,t02_01
4301091,1,0,0,3,2,64,1.4059624775122075,0,1,0,3
4301092,1,0,1,3,2,41,-0.8940375224877926,0,0,1,5
4301122,1,0,1,3,2,32,-1.7940375224877925,0,1,1,4
4301141,1,0,0,1,2,35,-1.4940375224877926,0,1,0,4
4301143,1,0,1,3,2,36,-1.3940375224877926,0,1,1,5
4301162,1,0,1,3,1,51,0.10596247751220744,0,1,1,4
4301164,1,0,0,3,2,38,-1.1940375224877926,0,0,1,4
4301171,1,0,1,3,1,57,0.7059624775122074,1,1,1,1
4301173,1,0,0,3,2,20,-2.9940375224877926,0,0,0,1
4301182,1,0,0,1,2,36,-1.3940375224877926,0,0,1,1
4301201,1,0,1,1,2,54,0.40596247751220743,1,0,0,5
4301211,1,0,1,1,2,53,0.30596247751220745,1,0,1,4
4301213,1,0,1,1,2,63,1.3059624775122074,0,0,1,3
4301221,1,0,0,3,2,44,-0.5940375224877925,0,1,0,1
4301223,1,0,1,1,2,36,-1.3940375224877926,0,0,0,1
4301233,1,0,1,3,2,59,0.9059624775122075,0,0,0,5
4301251,1,0,0,3,2,45,-0.49403752248779254,0,0,1,4
4301252,1,0,0,3,2,54,0.40596247751220743,0,0,1,4
5101014,1,0,0,3,1,21,-2.8940375224877926,0,0,0,2
5101021,1,0,1,3,1,35,-1.4940375224877926,1,1,1,4
5101035,1,1,0,3,2,55,0.5059624775122075,0,1,0,4
5101053,1,0,1,3,1,63,1.3059624775122074,0,1,1,2
5101055,1,0,1,3,1,33,-1.6940375224877926,0,1,1,2
5101062,1,0,0,1,1,42,-0.7940375224877926,0,1,0,4
5101064,1,0,0,1,2,48,-0.19403752248779255,0,0,0,1
5101066,1,0,1,1,2,27,-2.2940375224877925,0,0,1,4
5101067,1,0,0,3,2,57,0.7059624775122074,1,1,0,4
5101072,1,0,0,3,1,34,-1.5940375224877925,0,1,1,1
5101075,1,0,1,3,2,54,0.40596247751220743,0,0,0,4
5101094,1,0,0,3,2,53,0.30596247751220745,1,0,0,4
5101095,1,0,0,3,2,56,0.6059624775122074,1,1,0,3
5101103,1,0,1,3,1,61,1.1059624775122074,0,0,0,4
5101105,1,0,0,3,1,63,1.3059624775122074,0,0,1,4
5101112,1,0,0,1,2,74,2.4059624775122073,0,0,0,4
5101117,1,0,1,1,2,35,-1.4940375224877926,0,0,1,5
5101123,1,0,0,1,2,73,2.3059624775122076,0,0,0,5
5101125,1,0,0,3,2,53,0.30596247751220745,0,1,1,5
5101126,1,0,0,2,2,37,-1.2940375224877925,0,0,1,4
5101131,1,0,0,1,2,66,1.6059624775122074,0,0,1,4
5101136,1,0,1,1,2,67,1.7059624775122075,0,0,0,4
5101151,1,0,1,3,2,49,-0.09403752248779255,0,1,0,3
5101153,1,0,1,2,2,47,-0.2940375224877926,0,0,0,3
5101154,1,0,0,3,2,30,-1.9940375224877926,0,0,0,2
5101161,1,0,1,3,2,34,-1.5940375224877925,0,0,0,3
5101162,1,0,1,1,2,66,1.6059624775122074,0,0,0,4
5101174,1,0,1,1,2,61,1.1059624775122074,1,0,0,4
5101182,1,0,1,3,1,20,-2.9940375224877926,0,0,0,4
5101194,1,0,1,2,2,19,-3.0940375224877927,1,0,0,4
5101196,1,0,0,1,2,24,-2.5940375224877927,0,0,0,4
5101197,1,0,0,1,2,25,-2.4940375224877926,0,0,0,4
5101201,1,0,0,3,1,52,0.20596247751220745,0,1,0,4
5101204,1,0,0,1,2,70,2.0059624775122074,0,0,0,2
5101206,1,0,0,3,1,46,-0.39403752248779256,0,1,1,3
5101207,1,1,0,1,2,29,-2.0940375224877927,0,0,0,3
5101215,1,0,0,1,2,34,-1.5940375224877925,0,1,0,4
